from,to,reprLat,reprLong,title,timePeriodsKeys,featureTypes
29492,990231087,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,333117475,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,961091612,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,638749372,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,893945,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,682032457,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,874458,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,874621,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,894019,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,44836840,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29492,14077997,36.1051141008,43.2451891492,Assyria (kingdom),"old-babylonian-assyrian-mesopotamia,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyrian-babylonian-middle-east,classical,hellenistic-republican,roman,late-antique",region
29517,30279,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30205,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30209,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30242,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30257,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30207,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30269,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30273,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30223,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30243,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30208,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,202157292,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30216,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30206,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30270,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
29517,30256,27.5,57.5,Carmania,"classical,hellenistic-republican,roman,late-antique",region
295279,1043,36.607058,2.1918495,Iol Caesarea,"classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
295279,305120,36.607058,2.1918495,Iol Caesarea,"classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
295279,305106,36.607058,2.1918495,Iol Caesarea,"classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
295279,285482,36.607058,2.1918495,Iol Caesarea,"classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
295279,677240335,36.607058,2.1918495,Iol Caesarea,"classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
295279,471134383,36.607058,2.1918495,Iol Caesarea,"classical,hellenistic-republican,roman,late-antique,modern","settlement, port"
295314,296720,36.6785494279,3.29196679275,Nabar? (river),twenty-first-ce,river
295363,20698830,36.5942426756,2.44191772826,Tipasa,"classical,hellenistic-republican,roman,roman-early-empire-late-antique,late-antique",settlement
295363,83724488,36.5942426756,2.44191772826,Tipasa,"classical,hellenistic-republican,roman,roman-early-empire-late-antique,late-antique",settlement
295374,285482,36.304939,2.223758,Zucchabar,"hellenistic-republican,roman",settlement
29573,84624811,28.0,65.0,Gedrosia,"classical,hellenistic-republican,roman,late-antique",region
29573,30221,28.0,65.0,Gedrosia,"classical,hellenistic-republican,roman,late-antique",region
295962,295245,36.166446,1.332622,Aqueduct at Castellum Tingitanum,roman,aqueduct
29621,932433,23.168472,57.3319445,Kalon Oros,"roman,modern,twenty-first-ce",mountain
29621,921321519,23.168472,57.3319445,Kalon Oros,"roman,modern,twenty-first-ce",mountain
29621,921321520,23.168472,57.3319445,Kalon Oros,"roman,modern,twenty-first-ce",mountain
29630,29713,27.0000001,50.9999999,Kish,"late-antique,modern",island
296720,295314,36.774437,3.250637,Untitled,"roman,late-antique",bridge
29677,814675,32.5,37.5,Nabataea (region),,region
29677,746785,32.5,37.5,Nabataea (region),,region
29677,746751,32.5,37.5,Nabataea (region),,region
29677,794388242,32.5,37.5,Nabataea (region),,region
29677,697687,32.5,37.5,Nabataea (region),,region
29677,697725,32.5,37.5,Nabataea (region),,region
29713,39352,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
29713,912841,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
29713,932464,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
29713,47806597,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
29713,912879,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
29713,29630,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
29713,912798,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
29713,912964,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
29713,912810,27.0000001,50.9999999,Persicus Sinus/Erythr(ae)um Mare,"archaic,classical,hellenistic-republican,roman,late-antique,modern",water-open
297475,295245,36.25,1.25,Untitled,roman,numbered feature
29816,894184,35.8572581,44.7915335,Zagrus M.,"hellenistic-republican,roman",mountain
29816,785376781,35.8572581,44.7915335,Zagrus M.,"hellenistic-republican,roman",mountain
30205,29517,,,Alexandria in Carmania,"hellenistic-republican,roman",unlocated
30206,29517,27.5,57.5,Anamis/Andanis/Ananis (river),"classical,hellenistic-republican,roman","unlocated, river"
30207,29517,,,Aradarum/Hardea/Ardea,"roman,late-antique",unlocated
30208,29517,,,Arai,"hellenistic-republican,roman",people
30209,29517,,,Archedotis/Arciotis,late-antique,unlocated
30216,29517,,,Badis,"classical,hellenistic-republican",unlocated
30221,29573,,,Caumatis/Kanate/Kanthatis,"classical,hellenistic-republican,roman,late-antique",unlocated
30223,29517,,,Charadrai,"hellenistic-republican,roman",people
30242,29517,,,Kophanta/Kophas,"classical,hellenistic-republican,roman",unlocated
30243,29517,,,Kophanta,"hellenistic-republican,roman",unlocated
30256,29517,,,Parsika (mountain),,"unlocated, mountain"
30257,29517,,,Portospana,"hellenistic-republican,roman",unlocated
30269,29517,,,Salmous,"classical,hellenistic-republican",unlocated
30270,29517,,,Semiramis (mountain),"hellenistic-republican,roman","unlocated, mountain"
30273,29517,,,Soxotai,"hellenistic-republican,roman",people
30279,29517,27.5,57.5,Zetis,"classical,hellenistic-republican,roman","unlocated, settlement"
305026,183817907,36.142221,6.65751,Cemetery at Ain bou Merzoug,"archaic,classical,hellenistic-republican",cemetery
305026,183817896,36.142221,6.65751,Cemetery at Ain bou Merzoug,"archaic,classical,hellenistic-republican",cemetery
475264756,20487,53.4406221,-8.7423042,Abbeyknockmoy abbey,mediaeval-byzantine,church
219854861,609998416,47.5957314,-3.0542642,Kercado tumulus,4th-millenium-bce,tumulus
316390354,609998416,47.600279,-3.0569689,Alignements du Manio,4th-millenium-bce,monument
522588456,410216617,29.1955758709,53.2311003424,Sarvestan Palace,late-antiquity-in-central-asia,architecturalcomplex
337124895,410216617,29.988580375,52.87459438,Investiture relief of Ardashir I,"achaemenid-central-asia,roman","cemetery, monument"
168208659,265799,37.0149137,-4.555913,Termas romanas de Santa María,roman,bath
168208661,256106,36.4683716,-4.9936578,Termas romanas de las Bóvedas,roman,bath
392649590,118745,48.8885995,9.0098187,Hochdorf Chieftain's Grave,archaic,tumulus
503211161,580119,37.738167,24.053028,Silver Mine at Thorikos,classical,mine-2
236701131,422932,41.886944,12.721389,Church of San Primitivo,late-antique,church-2
236701133,423567,41.8888922,12.4641047,Fonte dell'Acqua Paola,modern,fountain
236701133,423025,41.8888922,12.4641047,Fonte dell'Acqua Paola,modern,fountain
236701133,430827518,41.8888922,12.4641047,Fonte dell'Acqua Paola,modern,fountain
786609869,658564,36.4268132652,36.2249098853,Bagras Castle,mediaeval-byzantine,fort
794026197,648980581,,,Za'ini,neo-assyrian-babylonian-middle-east,"unlocated, settlement"
794026197,357078915,,,Za'ini,neo-assyrian-babylonian-middle-east,"unlocated, settlement"
794026198,658636,37.048025,37.876849,Theater of Zeugma,,theatre
37101101,628982,38.616165,38.1120586667,Anduarsalia,neo-assyrian-babylonian-middle-east,"unlocated, fort"
37101101,762647722,38.616165,38.1120586667,Anduarsalia,neo-assyrian-babylonian-middle-east,"unlocated, fort"
37101101,629008,38.616165,38.1120586667,Anduarsalia,neo-assyrian-babylonian-middle-east,"unlocated, fort"
37101101,522605291,38.616165,38.1120586667,Anduarsalia,neo-assyrian-babylonian-middle-east,"unlocated, fort"
37101101,100544804,38.616165,38.1120586667,Anduarsalia,neo-assyrian-babylonian-middle-east,"unlocated, fort"
37101101,629098,38.616165,38.1120586667,Anduarsalia,neo-assyrian-babylonian-middle-east,"unlocated, fort"
