id,title,timePeriods,size,score,type
865200669,Forum of Paestum,HRL,2,1,circle
416452801,Lake Tana,M,2,1,circle
442917179,Panagia Aggeloktisti,LM,2,1,circle
354112,Fauces Garamanticae,YUNK,2,1,circle
354115,Garama Metropolis,HRL,2,1,circle
354116,Garamantes,CHRL,1,1,circle
363931,Austuriani,L,2,1,circle
364021,Tautamei?,L,3,1,circle
373732,Apollonia/Sozousa,ACHRLM,10,1,circle
373750,Barke,CHRL,2,1,circle
373757,Berenice,CHRLM,7,1,circle
373777,Cyrenaica (region),R,2,1,circle
373778,Cyrene,ACHRLM,15,1,circle
373780,Darnis,ACHRLM,2,1,circle
373861,Nasamones,CHRL,2,1,circle
373868,Paliouros,HR,2,1,circle
373870,Phaia,ACH,2,1,circle
373874,Plateia,AL,2,1,circle
373875,Plateia? Ins.,ALT,2,1,circle
373879,Ptolemais/Barkes Limen,ACHRL,3,1,circle
375997,Untitled,ACHRL,3,1,circle
376001,Cyrene - Apollonia Road,ACHRL,2,1,circle
383543,Addua (river),RLM,2,1,circle
383544,Ad Figlinas,RL,2,1,circle
383547,Ad Fonteclos,RL,2,1,circle
383556,Ad Tarum,RL,3,1,circle
383562,Agunia (river),RLM,2,1,circle
383564,Alba Pompeia,RL,3,1,circle
383568,Amalune (river),RL,2,1,circle
383570,Andes,RL,2,1,circle
383574,Aquae Statiellae,RL,2,1,circle
383578,Augusta Bagiennorum,HRL,5,1,circle
383579,Augusta Praetoria,RLM,6,1,circle
383580,Augusta Taurinorum,RLM,6,1,circle
383584,Bedriacum,RL,2,1,circle
383587,Benacus (lake),RLMT,2,1,circle
383589,Bergomum,CHRL,2,1,circle
383590,Betuctelum? (river),RLM,3,1,circle
383602,Brixellum,RLM,2,1,circle
383603,Brixia,CHRLM,4,1,circle
383609,Canalicum,RL,3,1,circle
383611,Carreum Potentia,HRL,1,1,circle
383617,*Civitas Camunnorum,RL,1,1,circle
383618,Clastidium,HRL,3,1,circle
383620,Clesus (river),LM,2,1,circle
383624,[Comacina] (island),LM,2,1,circle
383626,‘Comeli magus’,RL,2,1,circle
383628,Cremona,RL,3,1,circle
383633,Dertona,CHRLM,6,1,circle
383635,Duria (Bautica) (river),RLM,5,1,circle
383636,Duria (river),LM,2,1,circle
383642,Eporedia,RLM,3,1,circle
383645,Eupilis L.,RLM,2,1,circle
383648,Fidentia,RL,3,1,circle
383649,Florenti(ol)a,RL,2,1,circle
383651,Forum Fulvii Valentinum,RLM,1,1,circle
383653,*Forum Germanici,RL,1,1,circle
383661,Gabellus/*Secia (river),RLM,2,1,circle
383664,Genua,ACHRLMM,3,1,circle
383668,Hadra (river),RLM,2,1,circle
383670,Hasta,RL,2,1,circle
383676,Incia (river),RLM,3,1,circle
383678,Insubres,HR,2,1,circle
383680,Iria/Forum Iulii Iriensium,RL,4,1,circle
383681,Ir(i)a (river),RLM,3,1,circle
383682,Iria (river),RLM,3,1,circle
383686,Lambrus (river),RLM,4,1,circle
383689,Larius/Comacinus L.,HRLM,2,1,circle
383691,Laus Pompeia,HRL,2,1,circle
383694,Libarna,CHRL,2,1,circle
383698,Liguria (region),ACHRL,5,1,circle
383704,Mantua,CHRLM,4,1,circle
383706,Mediolan(i)um,CHRLM,6,1,circle
383708,Mincius (river),RLM,4,1,circle
383715,Mutina,RLM,5,1,circle
383717,Novaria,RLM,4,1,circle
383718,Nure (river),RLM,3,1,circle
383721,Ollius (river),RLM,2,1,circle
383722,Olonna (river),RLM,2,1,circle
383723,Orgus (river),RLM,2,1,circle
383729,Pagus Ambitrebius,R,2,1,circle
383737,Parma,RLM,3,1,circle
383738,Parma (river),RLM,2,1,circle
383740,Pedo(na),RL,2,1,circle
383741,Placentia,RL,6,1,circle
383745,Pollentia,RL,2,1,circle
383749,Porcibera (river),HRLM,2,1,circle
383755,Regium Lepidum,RLM,3,1,circle
383758,Ricina,LM,2,1,circle
383763,Sabini,HR,2,1,circle
383777,Sesites (river),RLM,2,1,circle
