source,target,type
897449051,633091638,type2
897449051,202833933,type2
897449051,897225060,type2
510139757,893951,type2
510139757,722340789,type2
124694415,893951,type2
124694415,722340789,type1
124694416,893951,type1
124694416,722340789,type1
133324175,893951,type1
133324175,89975947,type1
774894386,472014,type1
486975583,423080,type1
445545537,423025,type1
445545537,502866838,type1
502004233,433032,type1
502004233,984330151,type1
134485260,423025,type1
489062160,433032,type1
489062160,984330151,type1
236993544,197459,type1
540898685,423025,type1
540898685,423560,type1
926033983,413260,type1
926033983,413142,type1
926033983,413152,type1
926033983,413046,type1
926033983,552440217,type1
926033983,432886,type1
926033983,413175,type1
926033983,413247,type1
926033983,413013,type1
552440217,926033983,type1
552440217,413182,type1
552440217,413039,type1
552440217,413105,type1
552440217,413237,type1
552440217,413333,type1
570444075,442451,type1
970563462,471947,type1
87882504,893951,type1
87882504,722340789,type1
452758807,893951,type1
452758807,633091640,type1
452758807,202833933,type1
452758807,633091638,type1
452758808,893951,type1
452758808,633091640,type1
979483544,423025,type1
43496934,413332,type1
43496936,177656,type1
141033380,197488,type1
609762511,756512,type1
438960368,756512,type1
218039420,570065,type1
534059885,373778,type1
9547769,589748,type1
9547769,953163789,type1
9547770,589748,type1
229935391,472014,type1
100447491,423080,type1
100447491,423025,type1
419380619,423025,type1
712477008,589748,type1
712477009,589748,type1
422724245,771725842,type2
422724245,423025,type2
514380156,138275,type2
936919090,433061,type2
936919090,744180486,type2
467476385,512491137,type2
467476385,191267779,type2
649361735,39337,type2
852463484,472014,type2
835247251,472014,type1
409654967,413106,type1
266589967,481818,type1
330348886,413185,type1
330348887,413320,type1
330348888,413170,type1
850888151,403222,type1
177059114,773739435,type1
177059114,520998,type2
177059114,307220778,type2
177059114,629429885,type2
629429885,177059114,type2
24547396,506349985,type2
24547397,506349985,type2
612970100,432992,type2
773379957,462428,type2
463738468,462086,type2
375591100,442733,type2
865200669,442733,type2
416452801,39298,type2
442917179,707498,type2
354112,3541230,type2
354115,354116,type1
363931,344420,type1
364021,373861,type1
364021,344428,type1
373732,373778,type1
373732,589166546,type1
373732,305199887,type1
373732,465308593,type1
373732,321867660,type1
373732,244211030,type1
373732,876619726,type1
373732,876619727,type1
373732,190648274,type1
373750,373777,type1
373757,375997,type1
373757,989143586,type1
373757,989143587,type1
373757,304296863,type1
373757,789856351,type1
373757,388037672,type1
373777,373750,type1
373778,376001,type1
373778,529754544,type1
