from,timePeriodsKeys
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
648980581,"early-iron-age-anatolia,early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east,middle-late-iron-age-anatolia"
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
357078915,neo-assyrian-babylonian-middle-east
316924422,neo-assyrian-babylonian-middle-east
316924422,neo-assyrian-babylonian-middle-east
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
227756061,"early-1st-millennium-mesopotamia,neo-assyrian-babylonian-middle-east"
168815529,early-1st-millennium-mesopotamia
168815529,early-1st-millennium-mesopotamia
168815529,early-1st-millennium-mesopotamia
168815529,early-1st-millennium-mesopotamia
168815529,early-1st-millennium-mesopotamia
609998416,modern
609998416,modern
609998416,modern
609998416,modern
609998416,modern
609998416,modern
609998416,modern
609998416,modern
609998416,modern
406501931,"4th-millenium-bce,3rd-millennium-bc"
828393338,2nd-millenium-bce
377811335,roman
490307091,modern
490307091,modern
490307091,modern
490307091,modern
490307091,modern
490307091,modern
490307091,modern
490307091,modern
260940008,"roman-early-empire-late-antique,modern"
367530812,2nd-millenium-bce
781209675,roman
864330772,"hellenistic-roman-early-empire,modern"
864330772,"hellenistic-roman-early-empire,modern"
345477552,modern
345477553,"hellenistic-republican,roman"
904615255,twenty-first-ce
119022475,roman
198420713,"mediaeval-byzantine,modern"
593460161,"early-minoan,modern"
593460162,"middle-helladic,late-helladic,modern"
593460163,"classical,late-antique,modern"
593460163,"classical,late-antique,modern"
483473194,"neolithic-eastern-med,modern"
6521693551211800,
645204823,"3rd-millennium-bc,2nd-millenium-bce,modern"
739961553,2nd-millenium-bce
946753455,"roman,modern"
946753455,"roman,modern"
540456066,modern
540456066,modern
540456066,modern
540456066,modern
58858515,hellenistic-republican
89350791,"hellenistic-republican,roman,modern"
300583267,"roman,late-antique,modern"
300583267,"roman,late-antique,modern"
267702570,"late-antique,mediaeval-byzantine,modern"
267702570,"late-antique,mediaeval-byzantine,modern"
267702571,"roman-early-empire-late-antique,modern"
267702571,"roman-early-empire-late-antique,modern"
445192365,roman
865664297,"mediaeval-byzantine,modern"
149683041,2nd-millenium-bce
774886524,roman-britain
958275306,"archaic,classical,hellenistic-republican,roman"
236955527,modern
236955527,modern
236955527,modern
369907904,roman
690508611,roman-early-empire-late-antique
690508612,
690508612,
690508612,
690508612,
690508612,
690508612,
690508612,
690508612,
690508612,
690508612,
690508612,
690508612,
690508612,
430827518,"roman,modern"
430827518,"roman,modern"
430827518,"roman,modern"
379689233,roman
379689234,early-1st-millennium-mesopotamia
511547525,roman
86419549,"roman,modern"
10993281,roman
495763993,roman
495763994,"roman,late-antique"
495763995,"roman,late-antique"
495763996,"roman,late-antique"
495763997,late-antique
495763998,"roman,late-antique"
495763999,"roman,late-antique"
164618008,"roman,late-antique"
164618009,"roman,late-antique"
164618010,"roman,late-antique"
164618011,late-antique
164618012,late-antique
164618013,roman
164618014,late-antique
164618015,late-antique
164618016,late-antique
164618017,roman
164618018,roman
164618019,"roman,late-antique"
164618020,"classical,hellenistic-republican"
164618021,roman
164618022,roman
636076369,roman
636076369,roman
451696383,roman
175815320,roman
175815320,roman
281701179,"roman,modern"
280341406,"neolithic-eastern-med,2nd-millenium-bce"
426309852,roman
466778575,
466778575,
466778575,
466778575,
541950317,"roman,modern"
541950317,"roman,modern"
144291814,"2nd-millenium-bce,middleminoan"
380086882,"2nd-millenium-bce,modern"
264120821,
141201,"roman,late-antique"
141201,"roman,late-antique"
141207,"roman,late-antique"
141208,"roman,late-antique"
141953,late-antique
141960,late-antique
147985,"archaic,classical,hellenistic-republican,roman,late-antique,modern"
147990,"hellenistic-republican,roman,modern"
147990,"hellenistic-republican,roman,modern"
147990,"hellenistic-republican,roman,modern"
147992,"hellenistic-republican,roman,modern"
147993,"roman,late-antique"
147993,"roman,late-antique"
147998,"hellenistic-republican,roman,modern"
147998,"hellenistic-republican,roman,modern"
147998,"hellenistic-republican,roman,modern"
148020,"hellenistic-republican,roman,modern"
148027,"hellenistic-republican,roman,late-antique,modern"
148033,roman
148053,"hellenistic-republican,roman,late-antique,modern"
148054,"hellenistic-republican,roman,late-antique,modern"
148054,"hellenistic-republican,roman,late-antique,modern"
148054,"hellenistic-republican,roman,late-antique,modern"
148054,"hellenistic-republican,roman,late-antique,modern"
148056,"hellenistic-republican,roman,late-antique,modern"
148056,"hellenistic-republican,roman,late-antique,modern"
148056,"hellenistic-republican,roman,late-antique,modern"
148056,"hellenistic-republican,roman,late-antique,modern"
