id,title,size,linkType
383799,Ticinus (river),2,type1
383801,Transpadana,2,type1
383802,Trebia (river),2,type1
383804,Trident(i)um,3,type1
383808,Vada Sabatia,2,type1
383811,Veleia,2,type1
383814,Verbanus L.,2,type1
383815,Vercellae,3,type1
383816,Verona,6,type1
383820,Victoriolae,2,type1
383821,Victumulae,2,type1
383824,Vitricium,3,type1
384297,Unnamed Roman aqueduct at Eporedia,2,type1
384299,Unnamed aqueduct at Augusta Bagiennorum,2,type1
384301,Unnamed aqueduct at Alba Pompeia,2,type1
384304,Untitled,2,type1
385053,Unnamed bridge at Lévérogne,2,type1
385055,Untitled,2,type1
385056,Pont-Saint-Martin (bridge),2,type1
385057,Unnamed bridge at Bard,3,type1
385058,Unnamed bridge,2,type1
385061,Roman bridge at Clastidium,2,type1
385065,Unnamed bridge,2,type1
385067,Unnamed bridge,2,type1
385807,Untitled,1,type1
385808,Untitled,2,type1
385809,Untitled,1,type1
385810,Untitled,2,type1
385811,Untitled,2,type1
385812,Untitled,2,type1
385813,Untitled,2,type1
385814,Untitled,1,type1
385815,Untitled,1,type1
385816,Untitled,1,type1
385817,Untitled,2,type1
385819,Untitled,2,type1
385820,Untitled,1,type1
385821,Untitled,2,type1
385822,Untitled,2,type1
385825,Untitled,2,type1
385838,Untitled,2,type1
385842,Untitled,2,type1
387319,Carystum,2,type1
39271,Adouli,2,type1
39272,Adoulitikos Kolpos,3,type1
39274,Aethiopia,2,type1
39281,Alalaiou (islands),2,type1
39290,Arabicus Sinus/Erythr(ae)um/Rubrum Mare,24,type2
39298,Astapous (river),3,type1
39303,A(u)xoume,2,type1
39305,Aualites Sinus,3,type1
39308,Azanium Mare/Barbarikon Pelagos,5,type1
39315,Bracheia/Prasodes Thalassa,3,type1
39318,Camarum (island),2,type1
39330,Chelonitis (island),2,type1
39335,Deire,2,type1
393362,Ad Idicem,2,type1
393368,Ad Rubiconem,3,type1
39337,Devade Islands,3,type1
393370,Ad Silarum,2,type1
393371,Ad Sinnium,2,type1
393372,Aemilia,2,type1
393374,Altinum,2,type1
393378,Aprusa (river),2,type1
393379,Ariminum,6,type1
39338,Diosko(u)rides (island),1,type1
393380,Ariminus (river),3,type1
393381,Astagus (river),2,type1
393383,At(h)esis (river),4,type1
393385,Atrianorum Paludes,3,type1
393387,Auraei,2,type1
393389,Bedesis (river),2,type1
393390,Boi(i),3,type1
393396,Cadianum,2,type1
393397,Caesena,2,type1
393400,Castello del Tartaro,2,type1
393404,Classis,6,type1
393405,Claterna,2,type1
393408,Compitum ad Confluentes,2,type1
393420,Faventia,2,type1
393421,Felsina/Bononia,6,type1
393424,Forum Cornelii,3,type1
393425,Forum Gallorum,2,type1
393426,Forum Livii,2,type1
393427,Forum Popilii,4,type1
393434,*Hadriani,3,type1
393436,(H)Atria,3,type1
393438,Hostilia,2,type1
393441,Iulia Concordia,3,type1
393446,Liquentia (river),2,type1
39345,Exusta/Katakekaumene Inss.,2,type1
393450,Meduacus Maior (river),2,type1
393459,Opitergium,5,type1
393467,Ostium Volane,2,type1
393469,Padus/Eridanus (river),29,type2
393470,Padusa,5,type1
393473,Patavium,2,type1
393475,Plavis (river),3,type1
393480,Ravenna,12,type2
393482,Retron (river),2,type1
393483,Rhenus (river),4,type1
393484,Rubico (river),2,type1
39349,Hippalon Pelagos,2,type1
393490,Sapis (river),4,type1
393492,Scultenna (river),2,type1
393493,Septem Maria (Station),2,type1
393494,Septem Maria (Po River Delta),8,type1
393495,Silarus (river),2,type1
393496,Silis (river),2,type1
393498,Spina,4,type1
39350,Homeritai,3,type1
393503,Tarvisium,2,type1
393510,Vatrenus (river),2,type1
393513,Vicetia,6,type1
393516,Vicus Varianus,2,type1
393517,Vitis? (river),3,type1
39352,Indicum Mare,15,type2
39361,Kinnamomophoros Chora,2,type1
39362,Kokkonatou (islands),4,type1
39376,Malichou islands,2,type1
39379,Mari(a)ba,2,type1
39399,Notou Keras/Aromata Pr.,2,type1
39404,Oreine (island),2,type1
39409,Ptolemais Theron,2,type1
39410,Pyraloi (islands),2,type1
394113,Unnamed aqueduct at Vicetia,1,type1
394116,Ravenna Aqueduct,3,type1
39423,Sap(p)har,2,type1
682305779,Nuraghe Unia,2,type1
755162813,Amphitheater of Anazarbos,1,type1
755162814,Phaneromeni Burials (Chiliomodi),2,type1
755162815,Roman Mausoleum at Palio Scholeio (Chiliomedio),2,type1
584889481,"Temple of Hera, Olympia",2,type1
813654446,Choragic Monument of Lysicrates,2,type1
26249986,Nuraghe Armungia,2,type1
93478894,Ponte Brabaciera,2,type1
93478895,Matzanni,2,type1
