source,target
837,550898
837,648600
837,609444
837,648601
837,550913
837,550924
837,550944
837,857287
837,511218
837,550406
837,609292
837,117143016
837,609420
837,609484
837,550459
837,981509
837,857359
837,133411593
837,658440
837,991964195
837,283602441
837,1224
837,560221
837,1043
83868,83058
844847,845034
844847,847112
844856,847112
844856,837
844856,845034
844879,837
844879,511189
844888,857148
844914,1224
844926,845034
844926,837
844944,837
844944,1224
844944,845014
844944,511189
844957,511406
844962,1224
844988,845034
844991,981512
845,20624
845,69569
845,865878062
845,138188
845,275667
845,236376
845,138384
845,138420
845,940029017
845,149334673
845,770912717
845,256045
845,138334
845,236455
845,236544
845,236563
845,275697
845,255976
845,236667
845,79632
845,1033
845,22059127
845,1043
845,256263
845,83424586
845,256272
845,256316
845,298351810
845,20420
845,256463
845,20493
845,993
845,246175
845006,1224
845013,511406
845013,844877
845034,844847
845034,844926
845034,844856
845034,844988
845041,844857
845603,845049
847112,844847
847112,844856
847903,845039
854666,1224
854675,1224
854675,825318
854696,226778
854700,854675
854710,854711
854715,226778
861854258,776172
862,256107
862,256128
863734,884130
863735,884130
863737,884130
413823808,148054
877549424,550812
628342669,491741
664535672,491741
332324145,961873
332324146,491741
614184896,462086
450863545,815
614844,609371
614851,511406
614870,609473
614870,619103
614870,609367
614870,609500
614870,609500
619114,628924
619163,837
619164,33128252
619164,17658595
619267,619275
619275,622156
619275,622169
619275,619267
619280,619104
620612,619287
622144,619275
622153,619275
622156,619275
622165,619275
622169,619275
622171,619275
622180,628949
624813669,776172
628923,58129442
628924,619114
628924,874303
628924,628932
628932,628924
628934,629068
628934,1001927
628963,630430
628982,100544804
628982,37101101
628982,629008
628982,988674926
628982,522605291
628982,988674927
628982,41488940
628982,359593043
628982,762647722
628982,549905270
628982,319432673
628982,129678075
628989,658503
629008,762647722
629008,37101101
629008,628982
629008,522605291
629008,100544804
629008,319432673
629008,214160492
629009,630437
629019,629075
629019,629076
629019,628936
629022,628948
629022,628948
629040,630430
629040,25078867
629075,629019
629076,629019
629083,857171
629106,630430
629678,648748
630430,629040
630430,629106
630430,628963
631240,628936
638748,599777
638749,638965
638753,38314636
638753,778690133
638753,46120818
638753,120399833
638753,329428991
638753,792804148
638753,792804149
638753,792804150
638753,685696905
638753,326045393
638753,463141627
638753,840672014
638753,991381
638758,33128252
638776,600985975
638776,137556138
638776,439693240
638776,640251
638776,6521693551211800
638776,639497
638776,638836
638778,177302800
638792,638804
638796,638965
638796,991381
638799,638938
638799,638990
638800,639035
638811,638967
638836,638776
638836,640251
638836,1043
638860,954952360
638860,232079424
638860,827909265
638868,33128252
638915,639035
638915,35475912
638931,648601
638938,638799
638955,601030061
638955,763220261
638955,115105706
638955,638967
638958,639166
638958,639167
638961,492936253
638961,144648290
638961,640246
638965,638749
638965,642561
638965,638796
638965,68843864
638967,638955
638967,638811
638967,550701
638967,599777
638988,638989
638990,638799
638995,638996
638996,35475912
638996,35475912
639008,33128252
639013,35475912
639013,35475912
639016,35475912
639035,638915
639035,638800
639042,639489
639042,453093030
639048,670644868
639048,623620658
639079,1043
639087,639494
639087,639495
639087,288813555
639087,290042871
639087,89361977
639087,62651370
639087,160453231
639087,695803524
639109,639034
639116,639139
639133,639132
639139,639116
639139,639116
639166,610184251
639166,638958
639167,638958
639167,640244
639167,35475912
639489,639042
639494,639087
639495,639087
639496,638814
639497,638776
640244,639167
640246,638961
640251,638776
640251,638836
640252,638993
978725164,865014139
978725164,423025
978725165,413126
386155228,462492
592169143,786067
592169143,727172
818739154,1004
988280578,423025
988280578,422960
988280578,422802
988280578,201409250
857232,1224
857246,1224
857276,1224
857287,1224
857287,837
857317,1224
857321,1224
857350,857352
857352,857350
857352,1224
857359,837
857359,1224
857381,857380
75740664,462311
601235773,462311
29964875,472063
402975098,894042
402975098,894042
524253439,433032
524253439,456321707
179295730,516671863
179295730,301732141
179295730,874621
179295730,763257295
179295730,185814199
179295730,331679526
179295730,310869662
179295730,287060405
179295730,828352080
179295730,767860328
179295730,882947620
179295730,945930916
179295730,588149003
179295730,90291126
179295730,886029329
331679526,179295730
331679526,588149003
331679526,301732141
331679526,516671863
331679526,874621
331679526,767860328
331679526,828352080
331679526,310869662
331679526,287060405
331679526,185814199
331679526,763257295
310869662,588149003
310869662,331679526
310869662,301732141
310869662,179295730
310869662,287060405
310869662,516671863
310869662,874621
310869662,767860328
310869662,828352080
310869662,185814199
301732141,874621
301732141,179295730
301732141,516671863
301732141,828352080
301732141,767860328
301732141,588149003
301732141,287060405
301732141,763257295
301732141,185814199
301732141,331679526
301732141,310869662
681842440,874621
681842440,882947620
681842440,945930916
90291125,874621
90291125,882947620
90291125,945930916
90291126,874621
90291126,882947620
90291126,945930916
130506467,874621
130506467,882947620
130506467,945930916
130506468,874621
130506468,882947620
130506468,945930916
767860328,301732141
767860328,287060405
767860328,828352080
767860328,185814199
767860328,331679526
767860328,763257295
767860328,179295730
767860328,310869662
767860328,516671863
767860328,588149003
767860328,882947620
767860328,945930916
767860328,874621
967100965,393379
103018178,413107
103018178,413107
103018179,442733
568637774,432721
51062012,393480
358880029,893951
358880029,386664298
358880029,856859069
640011069,423025
897019599,433032
95873554,433032
95873554,599902893
100249112,433032
100249112,599902893
364001862,433032
364001862,984330151
419907821,433032
419907821,984330151
419907822,433032
419907822,984330151
576179783,423025
856037447,423127
943722594,413054
361151408,79739
272213280,422898
272213280,423025
272213280,423026
272213281,423025
272213281,423081
272213281,423071
